,Ligand SMILES,IC50 (nM)
165,Cn1nnnc1C(\C=C\C(O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 43
168,CCc1cccc(c1)-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 44
169,Cn1nnnc1\C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(/c1ccccc1)c1ccc(F)cc1, 44
170,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)[C@@H](C)c1ccccc1)-c1ccc(F)cc1, 45
172,CC(C)c1cc(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccn1, 46
173,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N1CCCCC1)-c1ccc(F)cc1, 47
174,CC(C)c1sc(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1cccc(F)c1)-c1ccccc1, 49
176,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)[C@@H](O)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 49
177,Cc1cc(C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(c1)-c1ccc(F)c(CO)c1, 49
181,CCOC(=O)c1c(c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1-c1ccc(F)cc1)-c1ccccc1, 50
183,COc1cccc(c1)-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 50
184,Cc1cc(Cl)cc(CCCOc2ccc(Cl)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O, 50
185,Cc1cc(C)c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)-c1ccc(F)c(C)c1, 52
186,COc1ccc2nc(C(C)C)c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)c(-c3ccc(F)cc3)c2c1, 53.0
187,C[C@@H]1C[C@H](OC(=O)NCc2ccc(cc2)C#C)[C@@H]2[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC2=C1, 53.8
194,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)C(=O)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 59
195,[Na+].CC(C)c1nn(-c2nc3ccccc3s2)c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 59
196,Cc1cc(Cl)c2ccc(Cl)cc2c1CCC1C[C@@H](O)CC(=O)O1, 60
197,[Na+].CC(C)c1nn(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1ccc2ccccc2n1, 62
198,O[C@H](CCn1c(nc(-c2cccs2)c1-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O, 64
200,[Na+].Cc1c(\C=C\[C@H](O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1, 65.0
201,O[C@H](CCn1c(nc(c1-c1ccc(F)cc1)-c1cccnc1)C(F)(F)F)C[C@@H](O)CC([O-])=O, 66
202,COc1ccc(cc1)-c1nc(n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1)C(F)(F)F, 68
203,O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccccc3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 68
204,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1cccc(Br)c1)-c1ccc(F)cc1)C(C)C, 69
205,Cc1cc(C)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c1)C(c1ccc(F)cc1)c1ccc(F)cc1, 70
206,Cc1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)n1-c1ccccc1)-c1ccc(F)cc1, 70
207,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1cccc(F)c1, 70.0
208,Cc1cc(Cl)cc(C(c2ccc(F)cc2)c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O, 70
209,CC(C)c1cc(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1cccnc1, 71.0
210,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1cccc(Cl)c1)-c1ccc(F)cc1)C(C)C, 71
211,Cc1cccc(c1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1, 74
212,Cc1cc(Cl)cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC([O-])=O, 75
214,CCCCNC(=O)c1nn(c(OC[C@@H](O)C[C@@H](O)CC(O)=O)c1C(C)C)-c1ccc(F)cc1, 76
215,O[C@@H]1C[C@@H](CCc2c(Cl)cc(Cl)cc2OCc2ccc(F)cc2)OC(=O)C1, 76
216,CC(C)c1c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)cc2)c2cc(F)ccc2[n+]1[O-], 79
217,Cc1cc(Cl)cc(CCCOc2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O, 80
219,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1ccccc1, 80
220,CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(=O)OC)[C@@H]12, 80
221,O[C@H](C[C@H](O)\C=C\c1c2CCCC(C\C=C\c3ccccc3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 82
222,C[C@@H]1C[C@H](OC(=O)Oc2ccccc2)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 83
223,O[C@@H]1CC(CC2c3ccc(F)cc3-c3cc(Cl)cc(Cl)c23)OC(=O)C1, 85.0
225,Cc1cc(C)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c1)C(c1ccc(F)cc1)c1cccc(c1)C(F)(F)F, 90
226,Cc1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 90
227,CC(C)c1sc(C)c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 94
228,Cc1cc(-c2ccc(Cl)cc2)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1, 94
229,Cc1c(nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(=O)NCc1ccccc1, 94
230,OC(COc1c(Cl)cc(Cl)cc1C(F)=C1CCCCC1)C[C@@H](O)CC([O-])=O, 95
231,O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccccc3Cl)c2nn1-c1ccc(F)cc1)CC([O-])=O, 95
232,Cc1cc(C)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c1)C(C1CCCCC1)c1ccc(F)cc1, 95
233,COc1ccc(cc1)C(c1ccc(F)cc1)c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC([O-])=O, 100
234,O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2-c2ccccc2)OC(=O)C1, 100
235,CC(C)n1cc(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C)-c1ccc(F)cc1, 100
237,Cc1cc(C)c(OCC(O)C[C@@H](O)CC([O-])=O)c(CC2CCCCC2)c1, 100
241,CCC(C)(C)C(=O)O[C@H]1C[C@H](C[C@@H]2C=C[C@H](C)[C@H](\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\C, 100
243,[Na+].CC(C)c1ccc(-c2ccc(C)cc2)c(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC([O-])=O, 100
244,COC(=O)C[C@H](O)C[C@H](O)CCn1c(cc(c1-c1ccc(F)cc1)-c1ccc(F)cc1)C(C)C, 105
245,CO[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(C)cc(C)cc1-c1ccc(F)c(C)c1, 106
246,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CCCC[C@@H](O)CC([O-])=O)[C@@H]12, 110
247,CC(C)c1nn(c(c1CCC(O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1ccccn1, 110
248,CC(C)c1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(cn1C(C)C)-c1ccc(F)cc1, 117
250,CC(C)c1c(cc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 120
251,CCc1c(nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(=O)NCc1ccccc1, 123
252,Cc1cc(Cl)c(CCC2C[C@@H](O)CC(=O)O2)c2cc(Cl)ccc12, 130
253,COc1cccc(c1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1, 135
254,O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccc(Cl)cc3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 140
255,CC(C)CC(c1ccc(F)cc1)c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC([O-])=O, 140
256,CC(C)c1c(C)c(C)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 140
257,[Na+].Cc1cc(C)c(OC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)C1CCCCCC1, 141
259,O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2OCc2ccccc2F)OC(=O)C1, 150
260,COc1ccc(cc1)-c1cc(nc(C(C)C)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 150
261,CCC(CC)(c1ccccc1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)-c1ccc(F)cc1, 150
262,OC(COc1c(Cl)cc(Cl)cc1C(CCOc1ccc(F)cc1)c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 150
263,CC(C)c1nn(Cc2ccccc2)c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1, 158
264,CC(c1ccc(F)cc1)c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC([O-])=O, 160
265,O[C@H](C[C@H](O)\C=C\c1c2CCCC(CCCc3ccccc3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 160
266,Cc1cc(ccc1F)C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1nnnn1C)c1ccc(F)c(C)c1, 160
267,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 160
268,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCCC[C@@H](O)CC([O-])=O)[C@@H]12, 160
269,CCOC(=O)c1c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1-c1ccccc1)-c1ccccc1, 170
270,C[C@@H]1C[C@H](OCc2ccc(Cl)cc2)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 170
271,O[C@@H]1C[C@@H](CCCc2c(Cl)cc(Cl)cc2COc2ccc(F)cc2)OC(=O)C1, 170
272,COC(=O)c1c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1C(=O)OC)-c1ccc(F)cc1, 180
273,Cn1nnnc1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccccc1)c1ccccc1, 190
274,OC(COc1c(Cl)cc(Cl)cc1-c1ccccc1)C[C@@H](O)CC([O-])=O, 190
275,Cc1ccc(cc1)-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 190
276,OC(COc1c(Cl)cc(Cl)cc1C(=O)C1CCCCC1)C[C@@H](O)CC([O-])=O, 190
277,Cc1cc(C)c2ccc(Cl)cc2c1CCC1C[C@@H](O)CC(=O)O1, 200
