,SMILES
370,CCC(CC)C(=O)Nc1cc(OC)ccc1S(N)(=O)=O
371,CCCCSC#N
372,COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
373,Cc1ccc(C)c2ccccc12
374,COc1cccc(C(=O)NP(=O)(N2CC2)N2CC2)c1
375,CCCCCNCc1ccc(C)cc1
376,COc1nc(C)[nH]c1[N+](=O)[O-]
377,Cc1ccc2[nH]ccc2c1
378,CNc1nc(C)nc(C(Cl)(Cl)Cl)n1
379,CCC(C)(Oc1ccc(Cl)cc1)C(=O)O
380,CCOCCN(CCOCC)CC(O)c1cc(-c2ccc(Cl)c(Cl)c2)nc2ccccc12
381,CS(C)(=O)=O
382,Fc1cccc(F)n1
383,CCCCBr
384,O=c1ccn(C2CC(F)C(CO)O2)c(=O)[nH]1
385,CC(=O)O
386,NC(=O)c1[nH]cnc1N
387,O=S(=O)(Nc1cn[nH]c1)c1ccccc1
388,COc1ccc(CCNCC(O)COc2ccc(-c3nc(C)c(Cl)[nH]3)cc2)cc1OC
389,CN=C(NC)N[N+](=O)[O-]
390,COc1ccc(CCNCC(O)COc2ccc(-c3nc(CN4CCOCC4)c[nH]3)cc2)cc1OC
391,COC(=O)Nc1nonc1C
392,COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(OC(C)=O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C
393,CCOC1OC2OC3(C)CCC4C(C)C(O)CC(C1C)C24OO3
394,COc1ccccc1C(=O)NCCCN(C)C
395,CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC(F)(F)F)C1
396,C=CCOC(=O)c1ccccc1C(=O)OCC=C
397,CCCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1
398,CC(=S)N(c1ccccc1)c1ccccc1
399,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
400,CCC(C)C(NC(=O)C(C)N)C(=O)O
401,CC1(C#N)CCCC1Nc1c(C(N)=O)cnn2cccc12
